,userId,movieId,rating,timestamp
0,1,1,4.0,964982703
10754,1,2139,5.0,964982791
10733,1,2137,5.0,964982791
10718,1,2116,5.0,964982876
4932,1,661,5.0,964982838
4981,1,673,3.0,964981775
10610,1,2115,5.0,964982529
5034,1,733,4.0,964982400
10560,1,2105,4.0,964981725
10521,1,2094,5.0,964982653
10515,1,2093,3.0,964981710
15198,1,3809,4.0,964981220
10502,1,2090,5.0,964982838
10472,1,2058,5.0,964982400
5155,1,736,3.0,964982653
10404,1,2054,4.0,964981747
10396,1,2048,5.0,964982791
10372,1,2046,4.0,964982563
10775,1,2141,5.0,964982838
10793,1,2143,4.0,964981725
10806,1,2161,5.0,964981710
10849,1,2174,4.0,964981680
11418,1,2395,5.0,964981093
11409,1,2389,2.0,964983094
11393,1,2387,5.0,964983123
4310,1,593,4.0,964983793
15015,1,3729,5.0,964982363
11326,1,2353,5.0,964983861
15018,1,3740,4.0,964982417
11308,1,2338,2.0,964983546
10364,1,2033,5.0,964982903
15046,1,3744,4.0,964980694
4589,1,608,5.0,964982931
11099,1,2291,5.0,964983664
11057,1,2273,4.0,964982310
15065,1,3793,5.0,964981855
11000,1,2268,4.0,964982989
10980,1,2253,2.0,964981775
10940,1,2193,4.0,964981710
4770,1,648,3.0,964982563
11179,1,2329,5.0,964983263
11474,1,2406,4.0,964982310
5278,1,780,3.0,964984086
15233,1,4006,4.0,964982903
267,1,6,4.0,964982224
5974,1,1090,4.0,964984018
9634,1,1732,5.0,964981125
6037,1,1092,5.0,964983484
9554,1,1676,3.0,964982620
9522,1,1644,3.0,964983536
6084,1,1097,5.0,964981680
9445,1,1625,5.0,964983504
9432,1,1620,4.0,964983056
6206,1,1127,4.0,964982513
6268,1,1136,5.0,964981327
9335,1,1617,5.0,964982951
9304,1,1587,5.0,964982346
215,1,3,4.0,964981247
6404,1,1196,5.0,964981827
9139,1,1580,3.0,964981125
9062,1,1573,5.0,964982290
9740,1,1777,4.0,964981230
5843,1,1089,5.0,964982951
9796,1,1793,4.0,964981404
9798,1,1804,5.0,964983034
15240,1,5060,5.0,964984002
10176,1,2028,4.0,964981888
5480,1,804,4.0,964980499
5488,1,1009,3.0,964981775
5497,1,1030,3.0,964982903
