,movieId,count
0,1,215
1,2,110
2,3,52
3,4,7
4,5,49
5,6,102
6,7,54
7,8,8
8,9,16
9,10,132
10,11,70
11,12,19
12,13,8
13,14,18
14,15,13
15,16,82
16,17,67
17,18,20
18,19,88
19,20,15
20,21,89
21,22,36
22,23,16
23,24,28
24,25,76
25,26,13
26,27,9
27,28,11
28,29,38
29,30,3
30,31,38
31,32,177
32,34,128
33,36,67
34,38,4
35,39,104
36,40,2
37,41,15
38,42,7
39,43,8
40,44,46
41,45,32
42,46,15
43,47,203
44,48,68
45,49,1
46,50,204
47,52,28
48,53,2
49,54,3
50,55,1
51,57,8
52,58,37
53,60,34
54,61,6
55,62,80
56,63,7
57,64,5
58,65,31
59,66,9
60,68,5
61,69,20
62,70,55
63,71,5
64,72,7
65,73,13
66,74,8
67,75,5
68,76,15
69,77,1
70,78,3
71,79,17
72,80,2
73,81,14
74,82,8
75,83,1
76,85,7
77,86,15
78,87,7
79,88,16
80,89,10
81,92,8
82,93,9
83,94,10
84,95,84
85,96,1
86,97,10
87,99,2
88,100,14
89,101,23
90,102,5
91,103,3
92,104,99
93,105,23
94,106,1
95,107,26
96,108,1
97,110,237
98,111,104
99,112,46
100,113,3
101,116,5
102,117,1
103,118,2
104,119,2
105,121,2
106,122,16
107,123,4
108,125,12
109,126,7
110,128,1
111,129,1
112,132,6
113,135,31
114,137,1
115,140,16
116,141,86
117,144,12
118,145,51
119,146,3
120,147,15
121,148,1
122,149,1
123,150,201
124,151,44
125,152,2
126,153,137
127,154,12
128,155,6
129,156,3
130,157,11
131,158,62
132,159,14
133,160,57
134,161,103
135,162,17
136,163,66
137,164,14
138,165,144
139,166,3
140,168,54
141,169,10
142,170,35
143,171,6
144,172,53
145,173,62
146,174,10
147,175,20
148,176,13
149,177,8
150,178,1
151,179,2
152,180,36
153,181,17
154,183,2
155,184,2
156,185,112
157,186,48
158,187,4
159,188,12
160,189,1
161,190,5
162,191,6
163,193,35
164,194,18
165,195,10
166,196,45
167,198,28
168,199,4
169,201,1
170,202,1
171,203,22
172,204,30
173,205,9
174,206,2
175,207,21
176,208,115
177,209,3
178,210,4
179,211,2
180,212,3
181,213,6
182,214,2
183,215,24
184,216,49
185,217,6
186,218,14
187,219,1
188,220,1
189,222,16
190,223,104
191,224,40
192,225,52
193,227,22
194,228,3
195,229,7
196,230,24
197,231,133
198,232,14
199,233,12
200,234,17
201,235,70
202,236,45
203,237,22
204,238,2
205,239,17
206,240,4
207,241,1
208,242,5
209,243,1
210,246,29
211,247,21
212,248,17
213,249,18
214,250,6
215,251,3
216,252,43
217,253,109
218,254,1
219,255,7
220,256,35
221,257,14
222,258,10
223,259,5
224,260,251
225,261,42
226,262,21
227,263,1
228,265,33
229,266,68
230,267,17
231,269,2
232,270,5
233,271,4
234,272,31
235,273,28
236,274,7
237,275,6
238,276,22
239,277,38
240,278,2
241,279,2
242,280,13
243,281,14
244,282,40
245,283,3
246,284,1
247,285,1
248,287,1
249,288,92
250,289,8
251,290,14
252,291,3
253,292,101
254,293,133
255,294,2
256,295,1
257,296,307
258,298,1
259,299,4
260,300,81
261,301,1
262,302,5
263,303,32
264,304,3
265,305,9
266,306,16
267,307,24
268,308,20
269,310,1
270,311,1
271,312,9
272,313,3
273,314,16
274,315,38
275,316,140
276,317,81
277,318,317
278,319,20
279,320,1
280,321,2
281,322,10
282,324,1
283,325,7
284,326,3
285,327,34
286,328,10
287,329,108
288,330,6
289,331,2
290,332,12
291,333,50
292,334,5
293,335,2
294,336,1
295,337,77
296,338,19
297,339,98
298,340,5
299,341,2
300,342,33
301,343,5
302,344,161
303,345,36
304,346,6
305,347,6
306,348,30
307,349,110
308,350,57
309,351,17
310,352,2
311,353,64
312,354,6
313,355,42
314,356,329
315,357,103
316,358,9
317,359,1
318,360,8
319,361,17
320,362,34
321,363,2
322,364,172
323,365,4
324,366,12
325,367,157
326,368,74
327,369,2
328,370,58
329,371,21
330,372,21
331,373,11
332,374,25
333,376,40
334,377,171
335,378,7
336,379,21
337,380,178
338,381,11
339,382,16
340,383,21
341,384,2
342,385,1
343,386,1
344,387,4
345,388,2
346,389,2
347,390,5
348,391,1
349,393,10
350,405,12
351,406,1
352,407,8
353,408,2
354,409,1
355,410,84
356,412,15
357,413,26
358,414,6
359,415,16
360,416,8
361,417,13
362,418,2
363,419,20
364,420,59
365,421,12
366,422,5
367,423,10
368,424,3
369,425,2
370,426,7
371,427,12
372,428,18
373,429,6
374,430,2
375,431,42
376,432,55
377,433,8
378,434,101
379,435,63
380,436,7
381,437,9
382,438,7
383,440,76
384,441,42
385,442,81
386,444,6
387,445,12
388,446,9
389,448,8
390,449,1
391,450,7
392,451,1
393,452,3
394,453,5
395,454,101
396,455,37
397,456,4
398,457,190
399,458,5
400,459,6
401,460,3
402,461,4
403,464,10
404,466,60
405,467,1
406,468,22
407,469,5
408,470,1
409,471,40
410,472,6
411,473,7
412,474,70
413,475,25
414,476,1
415,477,17
416,478,1
417,479,4
418,480,238
419,481,19
420,482,8
421,484,2
422,485,53
423,486,3
424,487,4
425,488,1
426,489,11
427,490,12
428,491,17
429,492,14
430,493,12
431,494,41
432,495,1
